戦士♂,そうだ。お前はひのきのぼうだ
僧侶,えっ……？
兵士Ａ,そ、それは！
兵士Ｂ,そいつを早く渡せ！！
盗賊,も、もちろんだ
兵士Ａ,間違いない……この珠の美しい色合い！紛れもなく国宝のオーブ！
兵士Ｂ,ああ、助かった……一時はどうなることかと思った……
盗賊,そ、そんなにスゲーもんだったのか？お、お前もよく盗る気になったなぁ
僧侶,えっ？僕はそんな玉なんて知らないよ
盗賊,嘘をつけ！現にお前のポケットから出てきたのを、このお二人も見てたんだ！
兵士Ａ,うむ……まぁ、確かに
兵士Ｂ,そこの少年、お前を城へ連行する！さぁ大人しくするんだ！
僧侶,えっ？今のは、そこの人がもともと持ってたのを、僕のポケットに入れたんだよ
盗賊,出まかせを！どうせオレがヨソ者だから、濡れ衣を着せやすいって魂胆なんだろ！？
兵士Ｂ,ええ……ど、どうする？
兵士Ａ,とにかく、二人ともひっ捕らえるんだ！
衛兵,ここでしばらく大人しくしてろ！
僧侶,あいたた。……うーん。僕はオーブなんて盗んでないんだけどな。でもそれより、いいことを知ったぞ。東の村の村長さんが寝言で言ってたオーブは、多分これのことだ。東の村から少し西へ進んだ位置にほこらがあって、そこにオーブを持っていくんだ。そうしたら、魔の城へ続く道が開ける……多分、何かが起こるんだ。魔王城は山と海に囲まれてるから、多分この方法で乗り込めるんだ。勇者に会ったらすぐに伝えないと。……ここを出られたら、だけど。……いつ出してもらえるのかな……。……。
兵士Ｂ,ふい～。オーブが見つかって良かった良かった
兵士Ａ,なあ兄弟。あのとき、尋問してた男の方の服は、まだ改めてなかったよな
兵士Ｂ,そうだったか？まぁそんなこと覚えちゃいないが
兵士Ａ,オーブが見つかって俺も動転していたが、よくよく考えてみると。あの男がガキの方に無理矢理オーブを押し付けたってのも、普通に在り得るんじゃないか
兵士Ｂ,さぁ、俺が知るもんか。オーブは見つかったんだ、あとは野となれ山となれだ
兵士Ａ,とはいっても、判決が下される際に、参考人として呼び出されるかもしれんぞ
兵士Ｂ,ええ、面倒くさいなぁ
兵士Ａ,……ま。その時は俺たちが見たままのことを伝えればいい。あの僧侶のポケットからオーブが出てきたってな
兵士Ｂ,僧侶？
兵士Ａ,ああ。あいつは例のひのきのぼうだよ。勇者様にリストラされた奴。身の程知らずに魔王討伐についていきやがって、俺は前から気に食わなかったんだ――
衛兵,おい、起きろ
僧侶,Ｚｚｚ
衛兵,……こいつ、よくこんな固い床で眠っていられるな……おい、起きろ！
僧侶,ん……ふぁい？
衛兵,沙汰が決まった。牢から出ろ
僧侶,ふああ……ふぁい……
衛兵,のんきなものだな。国宝窃取は大罪なのを分かっているのか？。場合によっては、明日の日の目はもう拝めないかもしれんのだぞ
僧侶,そうは言っても、僕は盗んでないですし……
衛兵,まぁいい。早く立て、これからお前を王の間に連れていく
僧侶,王の間……？
衛兵,そうだ。盗品が盗品だからな。国王みずから直々に判決を下すとのお達しだ――。ただいま容疑の者をお連れしました！
国王,よい。下がれ
衛兵,はっ
僧侶,……王様、お久しぶりです。お腰の具合はいかがですか
大臣,し、痴れ者め！貴様のようなみすぼらしい小僧に、王は出会ってなど――
国王,よい。声を荒げるでない
大臣,ぬ、ぬう……しかし……
国王,……さて。余は確かに、その不思議な眼差しには見覚えがある。どこであったか……
僧侶,はい。僕は以前、勇者のパーティーにいました。そのとき一度だけ、王様に謁見したことがあります
国王,おおそうか、あの時の少年か。勇者の影にはあったが、余はその目をよく覚えているぞ
僧侶,ありがとうございます
国王,しかし……それがこの度はなにゆえ、実に憂うべき所業に走ったのか……
僧侶,僕はオーブを盗んではいません。本当です
国王,ふむ。だがその言葉だけを鵜呑みにしては、この場を設けた意味はなかろう。では衛兵
衛兵,はっ。ご報告いたします。この僧侶は今からひと月ほど前、賢者の村にて勇者一行から離脱した模様。その後ここ王都に帰郷し、城下町の住まいで数日過ごしていたとのことですが。出自が孤児であったこともあり、生活は非常に困窮していたものと思われます。ちまたではひのきのぼうと称せられるほど、貧しい日々を送っていたとか
大臣,ぷっ
兵士,くくっ
僧侶,……
衛兵,以上のことから、国宝を横流しし、生活の安定を図ろうとした可能性は十分考えられます
国王,私見は交えなくてよい
衛兵,し、失礼致しました！
国王,続けよ
衛兵,はっ。オーブが戻った今、もはや内密にする必要もありませんが――。今から七日前、王宮に忍び込んだ何者かに、オーブを奪われる事件が発生しました。犯人と思しき人物は、当日中に城下町に雲隠れしたとの情報を受け。ただちに多数の城兵を捜索に送り、昨日までの連日、昼夜ともに網を敷いていたのですが。ようやく昨晩、巡回中の兵士が、夜間に町を出歩いていた怪しき二人を捕らえました。うち一名はこの後、この場に呼ぶ予定ですが――。先にポケットにオーブを隠し持っていたとされる人物から引き立てた次第です
